round,g1_a,g1_b,g2_a,g2_b,ee_choice,coin_flip,realized,wealth_expected,wealth_actual,g1_max,g1_min,g1_range,g1_mean,g1_signs_diff,g1_both_positive,g1_both_negative,g1_count_positive,g1_count_negative,g2_max,g2_min,g2_range,g2_mean,g2_signs_diff,g2_both_positive,g2_both_negative,g2_count_positive,g2_count_negative,g2_both_gainers,g2_both_shrinkers,g2_count_gainers,g2_count_shrinkers,g1_both_gainers,g1_both_shrinkers,g1_count_gainers,g1_count_shrinkers
728,-241.5,309.5,-241.5,0.0,1,1,-241.5,80391.25,76372.0,309.5,-241.5,551.0,34.0,1,0,0,1,1,0.0,-241.5,241.5,-120.75,0,0,0,0,1,,,,,,,,
729,108.5,309.5,-305.5,210.5,1,1,108.5,80600.25,76480.5,309.5,108.5,201.0,209.0,0,1,0,2,0,210.5,-305.5,516.0,-47.5,1,0,0,1,1,,,,,1.0,0.0,2.0,0.0
730,-49.0,210.5,-407.0,210.5,1,1,-49.0,80681.0,76431.5,210.5,-49.0,259.5,80.75,1,0,0,1,1,210.5,-407.0,617.5,-98.25,1,0,0,1,1,,,,,,,,
731,108.5,440.5,210.5,440.5,2,2,440.5,81006.5,76872.0,440.5,108.5,332.0,274.5,0,1,0,2,0,440.5,210.5,230.0,325.5,0,1,0,2,0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
732,-407.0,-241.5,-241.5,309.5,2,2,309.5,81040.5,77181.5,-241.5,-407.0,165.5,-324.25,0,0,1,0,2,309.5,-241.5,551.0,34.0,1,0,0,1,1,,,,,,,,
733,-241.5,309.5,-305.5,0.0,1,1,-241.5,81074.5,76940.0,309.5,-241.5,551.0,34.0,1,0,0,1,1,0.0,-305.5,305.5,-152.75,0,0,0,0,1,,,,,,,,
734,-407.0,210.5,-305.5,-241.5,1,1,-407.0,80976.25,76533.0,210.5,-407.0,617.5,-98.25,1,0,0,1,1,-241.5,-305.5,64.0,-273.5,0,0,1,0,2,,,,,,,,
735,-305.5,-49.0,210.5,0.0,2,2,0.0,81081.5,76533.0,-49.0,-305.5,256.5,-177.25,0,0,1,0,2,210.5,0.0,210.5,105.25,0,0,0,1,0,,,,,,,,
736,309.5,0.0,-305.5,309.5,1,1,309.5,81236.25,76842.5,309.5,0.0,309.5,154.75,0,0,0,1,0,309.5,-305.5,615.0,2.0,1,0,0,1,1,,,,,,,,
737,-305.5,-241.5,-305.5,210.5,2,2,210.5,81188.75,77053.0,-241.5,-305.5,64.0,-273.5,0,0,1,0,2,210.5,-305.5,516.0,-47.5,1,0,0,1,1,,,,,,,,
738,108.5,210.5,-305.5,-241.5,1,1,108.5,81348.25,77161.5,210.5,108.5,102.0,159.5,0,1,0,2,0,-241.5,-305.5,64.0,-273.5,0,0,1,0,2,,,,,1.0,0.0,2.0,0.0
739,108.5,309.5,-241.5,210.5,1,2,309.5,81557.25,77471.0,309.5,108.5,201.0,209.0,0,1,0,2,0,210.5,-241.5,452.0,-15.5,1,0,0,1,1,,,,,1.0,0.0,2.0,0.0
740,108.5,309.5,-241.5,440.5,1,1,108.5,81766.25,77579.5,309.5,108.5,201.0,209.0,0,1,0,2,0,440.5,-241.5,682.0,99.5,1,0,0,1,1,,,,,1.0,0.0,2.0,0.0
741,-407.0,-241.5,-407.0,440.5,2,2,440.5,81783.0,78020.0,-241.5,-407.0,165.5,-324.25,0,0,1,0,2,440.5,-407.0,847.5,16.75,1,0,0,1,1,,,,,,,,
742,-49.0,440.5,108.5,440.5,2,2,440.5,82057.5,78460.5,440.5,-49.0,489.5,195.75,1,0,0,1,1,440.5,108.5,332.0,274.5,0,1,0,2,0,1.0,0.0,2.0,0.0,,,,
743,-305.5,-241.5,210.5,309.5,2,2,309.5,82317.5,78770.0,-241.5,-305.5,64.0,-273.5,0,0,1,0,2,309.5,210.5,99.0,260.0,0,1,0,2,0,1.0,0.0,2.0,0.0,,,,
744,440.5,0.0,-407.0,440.5,1,2,0.0,82537.75,78770.0,440.5,0.0,440.5,220.25,0,0,0,1,0,440.5,-407.0,847.5,16.75,1,0,0,1,1,,,,,,,,
745,-241.5,108.5,-407.0,-241.5,1,2,108.5,82471.25,78878.5,108.5,-241.5,350.0,-66.5,1,0,0,1,1,-241.5,-407.0,165.5,-324.25,0,0,1,0,2,,,,,,,,
746,-305.5,440.5,309.5,440.5,2,2,440.5,82846.25,79319.0,440.5,-305.5,746.0,67.5,1,0,0,1,1,440.5,309.5,131.0,375.0,0,1,0,2,0,1.0,0.0,2.0,0.0,,,,
747,210.5,0.0,-407.0,-241.5,1,1,210.5,82951.5,79529.5,210.5,0.0,210.5,105.25,0,0,0,1,0,-241.5,-407.0,165.5,-324.25,0,0,1,0,2,,,,,,,,
748,-407.0,309.5,-241.5,210.5,2,1,-241.5,82936.0,79288.0,309.5,-407.0,716.5,-48.75,1,0,0,1,1,210.5,-241.5,452.0,-15.5,1,0,0,1,1,,,,,,,,
749,-407.0,-241.5,-407.0,108.5,2,1,-407.0,82786.75,78881.0,-241.5,-407.0,165.5,-324.25,0,0,1,0,2,108.5,-407.0,515.5,-149.25,1,0,0,1,1,,,,,,,,
750,210.5,0.0,-407.0,440.5,1,2,0.0,82892.0,78881.0,210.5,0.0,210.5,105.25,0,0,0,1,0,440.5,-407.0,847.5,16.75,1,0,0,1,1,,,,,,,,
751,-305.5,108.5,-305.5,0.0,1,2,108.5,82793.5,78989.5,108.5,-305.5,414.0,-98.5,1,0,0,1,1,0.0,-305.5,305.5,-152.75,0,0,0,0,1,,,,,,,,
752,-407.0,-49.0,309.5,0.0,2,1,309.5,82948.25,79299.0,-49.0,-407.0,358.0,-228.0,0,0,1,0,2,309.5,0.0,309.5,154.75,0,0,0,1,0,,,,,,,,
753,309.5,440.5,440.5,0.0,1,1,309.5,83323.25,79608.5,440.5,309.5,131.0,375.0,0,1,0,2,0,440.5,0.0,440.5,220.25,0,0,0,1,0,,,,,1.0,0.0,2.0,0.0
754,108.5,210.5,-305.5,-241.5,1,2,210.5,83482.75,79819.0,210.5,108.5,102.0,159.5,0,1,0,2,0,-241.5,-305.5,64.0,-273.5,0,0,1,0,2,,,,,1.0,0.0,2.0,0.0
755,-305.5,108.5,-241.5,210.5,2,2,210.5,83467.25,80029.5,108.5,-305.5,414.0,-98.5,1,0,0,1,1,210.5,-241.5,452.0,-15.5,1,0,0,1,1,,,,,,,,
756,-305.5,440.5,-241.5,-49.0,1,1,-305.5,83534.75,79724.0,440.5,-305.5,746.0,67.5,1,0,0,1,1,-49.0,-241.5,192.5,-145.25,0,0,1,0,2,,,,,,,,
757,-49.0,0.0,-241.5,440.5,2,2,440.5,83634.25,80164.5,0.0,-49.0,49.0,-24.5,0,0,0,0,1,440.5,-241.5,682.0,99.5,1,0,0,1,1,,,,,,,,
758,-305.5,309.5,-407.0,-241.5,1,2,309.5,83636.25,80474.0,309.5,-305.5,615.0,2.0,1,0,0,1,1,-241.5,-407.0,165.5,-324.25,0,0,1,0,2,,,,,,,,
759,-407.0,309.5,-305.5,210.5,2,2,210.5,83588.75,80684.5,309.5,-407.0,716.5,-48.75,1,0,0,1,1,210.5,-305.5,516.0,-47.5,1,0,0,1,1,,,,,,,,
760,-305.5,108.5,309.5,440.5,2,2,440.5,83963.75,81125.0,108.5,-305.5,414.0,-98.5,1,0,0,1,1,440.5,309.5,131.0,375.0,0,1,0,2,0,1.0,0.0,2.0,0.0,,,,
761,-305.5,-241.5,-49.0,210.5,2,2,210.5,84044.5,81335.5,-241.5,-305.5,64.0,-273.5,0,0,1,0,2,210.5,-49.0,259.5,80.75,1,0,0,1,1,,,,,,,,
762,-407.0,-49.0,-49.0,210.5,2,1,-49.0,84125.25,81286.5,-49.0,-407.0,358.0,-228.0,0,0,1,0,2,210.5,-49.0,259.5,80.75,1,0,0,1,1,,,,,,,,
763,309.5,440.5,-407.0,309.5,1,1,309.5,84500.25,81596.0,440.5,309.5,131.0,375.0,0,1,0,2,0,309.5,-407.0,716.5,-48.75,1,0,0,1,1,,,,,1.0,0.0,2.0,0.0
764,-305.5,210.5,-305.5,108.5,1,2,210.5,84452.75,81806.5,210.5,-305.5,516.0,-47.5,1,0,0,1,1,108.5,-305.5,414.0,-98.5,1,0,0,1,1,,,,,,,,
765,-241.5,108.5,-49.0,210.5,2,1,-49.0,84533.5,81757.5,108.5,-241.5,350.0,-66.5,1,0,0,1,1,210.5,-49.0,259.5,80.75,1,0,0,1,1,,,,,,,,
766,-407.0,108.5,309.5,0.0,2,1,309.5,84688.25,82067.0,108.5,-407.0,515.5,-149.25,1,0,0,1,1,309.5,0.0,309.5,154.75,0,0,0,1,0,,,,,,,,
767,-407.0,-241.5,-305.5,210.5,2,2,210.5,84640.75,82277.5,-241.5,-407.0,165.5,-324.25,0,0,1,0,2,210.5,-305.5,516.0,-47.5,1,0,0,1,1,,,,,,,,
768,-407.0,108.5,-241.5,108.5,2,2,108.5,84574.25,82386.0,108.5,-407.0,515.5,-149.25,1,0,0,1,1,108.5,-241.5,350.0,-66.5,1,0,0,1,1,,,,,,,,
769,-305.5,210.5,-305.5,-49.0,1,1,-305.5,84526.75,82080.5,210.5,-305.5,516.0,-47.5,1,0,0,1,1,-49.0,-305.5,256.5,-177.25,0,0,1,0,2,,,,,,,,
770,-407.0,309.5,-305.5,440.5,2,1,-305.5,84594.25,81775.0,309.5,-407.0,716.5,-48.75,1,0,0,1,1,440.5,-305.5,746.0,67.5,1,0,0,1,1,,,,,,,,
771,-305.5,-49.0,-49.0,108.5,2,1,-49.0,84624.0,81726.0,-49.0,-305.5,256.5,-177.25,0,0,1,0,2,108.5,-49.0,157.5,29.75,1,0,0,1,1,,,,,,,,
772,-241.5,440.5,309.5,0.0,2,2,0.0,84778.75,81726.0,440.5,-241.5,682.0,99.5,1,0,0,1,1,309.5,0.0,309.5,154.75,0,0,0,1,0,,,,,,,,
773,-407.0,-241.5,-407.0,210.5,2,1,-407.0,84680.5,81319.0,-241.5,-407.0,165.5,-324.25,0,0,1,0,2,210.5,-407.0,617.5,-98.25,1,0,0,1,1,,,,,,,,
774,-407.0,0.0,-407.0,-305.5,1,2,0.0,84477.0,81319.0,0.0,-407.0,407.0,-203.5,0,0,0,0,1,-305.5,-407.0,101.5,-356.25,0,0,1,0,2,,,,,,,,
775,-241.5,210.5,-241.5,440.5,2,2,440.5,84576.5,81759.5,210.5,-241.5,452.0,-15.5,1,0,0,1,1,440.5,-241.5,682.0,99.5,1,0,0,1,1,,,,,,,,
776,108.5,309.5,-305.5,0.0,1,1,108.5,84785.5,81868.0,309.5,108.5,201.0,209.0,0,1,0,2,0,0.0,-305.5,305.5,-152.75,0,0,0,0,1,,,,,1.0,0.0,2.0,0.0
777,108.5,210.5,-49.0,210.5,1,1,108.5,84945.0,81976.5,210.5,108.5,102.0,159.5,0,1,0,2,0,210.5,-49.0,259.5,80.75,1,0,0,1,1,,,,,1.0,0.0,2.0,0.0
778,-305.5,210.5,440.5,0.0,2,2,0.0,85165.25,81976.5,210.5,-305.5,516.0,-47.5,1,0,0,1,1,440.5,0.0,440.5,220.25,0,0,0,1,0,,,,,,,,
779,-407.0,210.5,108.5,210.5,2,2,210.5,85324.75,82187.0,210.5,-407.0,617.5,-98.25,1,0,0,1,1,210.5,108.5,102.0,159.5,0,1,0,2,0,1.0,0.0,2.0,0.0,,,,
780,-407.0,-49.0,-407.0,108.5,2,2,108.5,85175.5,82295.5,-49.0,-407.0,358.0,-228.0,0,0,1,0,2,108.5,-407.0,515.5,-149.25,1,0,0,1,1,,,,,,,,
