round,g1,g2,choice,coin_flip,wealth_expected,wealth_actual,realized,g1_max,g1_min,g1_range,g1_mean,g1_signs_diff,g1_both_positive,g1_both_negative,g1_count_positive,g1_count_negative,g2_max,g2_min,g2_range,g2_mean,g2_signs_diff,g2_both_positive,g2_both_negative,g2_count_positive,g2_count_negative,g2_both_gainers,g2_both_shrinkers,g2_count_gainers,g2_count_shrinkers,g1_both_gainers,g1_both_shrinkers,g1_count_gainers,g1_count_shrinkers,eta
84,"(-241.5, -49.0)","(108.5, 440.5)",2,2,11140.5,9429.5,440.5,-49.0,-241.5,192.5,-145.25,0,0,1,0,2,440.5,108.5,332.0,274.5,0,1,0,2,0,1.0,0.0,2.0,0.0,,,,,0.75
85,"(-241.5, 0.0)","(-241.5, 440.5)",2,1,11240.0,9188.0,-241.5,0.0,-241.5,241.5,-120.75,0,0,0,0,1,440.5,-241.5,682.0,99.5,1,0,0,1,1,,,,,,,,,0.75
86,"(-49.0, 0.0)","(-49.0, 440.5)",2,2,11435.75,9628.5,440.5,0.0,-49.0,49.0,-24.5,0,0,0,0,1,440.5,-49.0,489.5,195.75,1,0,0,1,1,,,,,,,,,0.75
87,"(-241.5, 0.0)","(-407.0, 0.0)",1,2,11315.0,9628.5,0.0,0.0,-241.5,241.5,-120.75,0,0,0,0,1,0.0,-407.0,407.0,-203.5,0,0,0,0,1,,,,,,,,,0.75
88,"(-241.5, 440.5)","(-407.0, -305.5)",1,2,11414.5,10069.0,440.5,440.5,-241.5,682.0,99.5,1,0,0,1,1,-305.5,-407.0,101.5,-356.25,0,0,1,0,2,,,,,,,,,0.75
89,"(-305.5, 440.5)","(-241.5, 440.5)",2,1,11514.0,9827.5,-241.5,440.5,-305.5,746.0,67.5,1,0,0,1,1,440.5,-241.5,682.0,99.5,1,0,0,1,1,,,,,,,,,0.75
90,"(-305.5, 210.5)","(-407.0, -49.0)",1,1,11466.5,9522.0,-305.5,210.5,-305.5,516.0,-47.5,1,0,0,1,1,-49.0,-407.0,358.0,-228.0,0,0,1,0,2,,,,,,,,,0.75
91,"(-407.0, 210.5)","(108.5, 309.5)",2,1,11675.5,9630.5,108.5,210.5,-407.0,617.5,-98.25,1,0,0,1,1,309.5,108.5,201.0,209.0,0,1,0,2,0,1.0,0.0,2.0,0.0,,,,,0.75
92,"(-49.0, 108.5)","(309.5, 0.0)",2,2,11830.25,9630.5,0.0,108.5,-49.0,157.5,29.75,1,0,0,1,1,309.5,0.0,309.5,154.75,0,0,0,1,0,,,,,,,,,0.75
93,"(-49.0, 108.5)","(309.5, 0.0)",2,1,11985.0,9940.0,309.5,108.5,-49.0,157.5,29.75,1,0,0,1,1,309.5,0.0,309.5,154.75,0,0,0,1,0,,,,,,,,,0.75
